City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,278.1,87,18,1.74,few clouds
1,Igarka,RU,67.4667,86.5833,275.54,53,100,2.47,overcast clouds
2,Kaeo,NZ,-35.1,173.7833,289.19,91,95,2.08,overcast clouds
3,Lebu,CL,-37.6167,-73.65,284.63,83,99,6.77,overcast clouds
4,Macau,MO,22.2006,113.5461,299.74,94,40,0.0,light intensity shower rain
5,Jalu,LY,29.0331,21.5482,302.4,33,0,6.86,clear sky
6,Airai,TL,-8.9266,125.4092,287.35,90,59,1.29,broken clouds
7,Mar Del Plata,AR,-38.0023,-57.5575,289.79,59,0,4.63,clear sky
8,Busselton,AU,-33.65,115.3333,283.56,70,10,5.15,clear sky
9,Ushuaia,AR,-54.8,-68.3,275.96,70,40,4.63,scattered clouds
10,Nchelenge,ZM,-9.3451,28.734,293.96,52,97,2.72,overcast clouds
11,Lompoc,US,34.6391,-120.4579,300.84,72,40,12.07,scattered clouds
12,Coquimbo,CL,-29.9533,-71.3436,289.0,77,0,4.12,clear sky
13,Port Alfred,ZA,-33.5906,26.891,291.46,40,3,2.58,clear sky
14,Mataura,NZ,-46.1927,168.8643,281.19,82,100,1.91,overcast clouds
15,Pavlodar,KZ,52.3,76.95,285.04,62,0,4.0,clear sky
16,Victoria,HK,22.2855,114.1577,301.07,91,100,5.36,moderate rain
17,Castro,BR,-24.7911,-50.0119,289.14,92,100,2.33,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,295.44,69,70,8.45,broken clouds
19,Sinnamary,GF,5.3833,-52.95,298.38,89,100,3.51,overcast clouds
20,Tiksi,RU,71.6872,128.8694,277.35,92,100,1.73,overcast clouds
21,Ambon,ID,-3.6954,128.1814,297.23,94,40,0.51,scattered clouds
22,Bengkulu,ID,-3.8004,102.2655,296.77,93,93,2.01,overcast clouds
23,Evans,US,33.5337,-82.1307,306.5,41,87,1.34,overcast clouds
24,Vaini,TO,-21.2,-175.2,297.24,73,20,5.14,few clouds
25,Grindavik,IS,63.8424,-22.4338,285.12,93,75,4.63,light rain
26,Hurricane,US,37.1753,-113.2899,309.34,14,6,7.24,clear sky
27,Hermanus,ZA,-34.4187,19.2345,288.04,44,60,4.02,broken clouds
28,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,291.89,75,43,5.13,scattered clouds
29,Saskylakh,RU,71.9167,114.0833,276.32,74,11,2.3,few clouds
30,Kruisfontein,ZA,-34.0033,24.7314,287.4,48,0,1.84,clear sky
31,Jamestown,US,42.097,-79.2353,297.88,49,100,5.66,overcast clouds
32,Lorengau,PG,-2.0226,147.2712,300.51,78,78,2.54,broken clouds
33,Hithadhoo,MV,-0.6,73.0833,300.82,74,92,1.82,overcast clouds
34,Bukachacha,RU,52.9833,116.9167,285.88,64,94,1.38,overcast clouds
35,Hobart,AU,-42.8794,147.3294,278.29,81,75,5.14,light rain
36,Cidreira,BR,-30.1811,-50.2056,290.9,97,100,3.03,moderate rain
37,Peniche,PT,39.3558,-9.3811,292.75,92,50,3.62,scattered clouds
38,Ahuimanu,US,21.4447,-157.8378,302.47,66,20,4.12,few clouds
39,Luderitz,NA,-26.6481,15.1594,293.13,36,0,2.77,clear sky
40,Kapaa,US,22.0752,-159.319,299.33,77,54,2.24,broken clouds
41,Barrow,US,71.2906,-156.7887,273.03,82,15,7.55,few clouds
42,Kuching,MY,1.55,110.3333,296.27,100,20,0.0,few clouds
43,Butaritari,KI,3.0707,172.7902,300.11,79,14,5.6,light rain
44,Inhambane,MZ,-23.865,35.3833,293.86,69,97,6.05,light rain
45,Tezu,IN,27.9167,96.1667,297.65,80,100,1.24,light rain
46,Vardo,NO,70.3705,31.1107,279.14,81,0,3.09,clear sky
47,Casino,AU,-28.8667,153.05,279.26,82,31,2.02,scattered clouds
48,Cambridge,CA,43.3601,-80.3127,292.81,91,100,5.14,mist
49,Bredasdorp,ZA,-34.5322,20.0403,288.54,38,16,1.31,few clouds
50,East London,ZA,-33.0153,27.9116,292.01,41,0,2.57,clear sky
51,Nyurba,RU,63.2842,118.3319,285.63,91,2,1.57,clear sky
52,Thompson,CA,55.7435,-97.8558,291.24,25,20,4.63,few clouds
53,Intipuca,SV,13.1969,-88.0544,298.0,90,100,1.31,overcast clouds
54,San Carlos De Bariloche,AR,-41.1456,-71.3082,277.01,87,100,9.26,heavy intensity rain
55,Aasiaat,GL,68.7098,-52.8699,274.71,73,24,4.1,few clouds
56,Bireun,ID,5.203,96.7009,297.33,86,100,2.39,overcast clouds
57,Yellowknife,CA,62.456,-114.3525,295.44,28,75,6.71,broken clouds
58,Beringovskiy,RU,63.05,179.3167,276.62,91,100,2.73,overcast clouds
59,Kodiak,US,57.79,-152.4072,284.23,82,84,2.99,broken clouds
60,Alta Floresta,BR,-9.8756,-56.0861,306.05,49,40,1.54,scattered clouds
61,Wattegama,LK,6.7989,81.4808,296.9,85,93,3.24,overcast clouds
62,Pevek,RU,69.7008,170.3133,274.45,77,88,1.66,overcast clouds
63,Sembabule,UG,-0.0772,31.4567,289.14,84,14,1.61,few clouds
64,Sisimiut,GL,66.9395,-53.6735,277.27,57,68,9.98,broken clouds
65,Tiznit,MA,29.5833,-9.5,294.78,64,84,0.64,broken clouds
66,Salalah,OM,17.0151,54.0924,300.09,82,100,1.21,overcast clouds
67,Dikson,RU,73.5069,80.5464,271.8,97,100,5.88,light snow
68,Belaya Gora,RU,68.5333,146.4167,283.2,47,13,5.83,few clouds
69,Avarua,CK,-21.2078,-159.775,300.18,83,75,4.63,light rain
70,Ridgecrest,US,35.6225,-117.6709,310.2,10,1,2.68,clear sky
71,Leningradskiy,RU,69.3833,178.4167,274.25,84,100,4.32,overcast clouds
72,Albany,US,42.6001,-73.9662,299.63,42,100,2.01,overcast clouds
73,Tuktoyaktuk,CA,69.4541,-133.0374,275.15,75,75,3.6,broken clouds
74,Cabra,ES,37.4725,-4.4421,297.41,20,93,1.11,overcast clouds
75,Upernavik,GL,72.7868,-56.1549,273.33,81,6,5.42,clear sky
76,Karratha,AU,-20.7377,116.8463,292.43,52,5,6.78,clear sky
77,Darhan,MN,49.4867,105.9228,288.02,60,98,1.92,overcast clouds
78,Narsaq,GL,60.9167,-46.05,279.86,84,100,2.31,overcast clouds
79,Terrace,CA,54.5163,-128.6035,289.1,51,75,2.57,broken clouds
80,Kenora,CA,49.8167,-94.4337,293.69,34,75,5.14,broken clouds
81,Dalby,AU,-27.1833,151.2667,279.25,87,71,2.97,broken clouds
82,Yantal,RU,56.8471,105.2542,282.96,91,96,3.83,overcast clouds
83,Payo,ID,-3.7508,103.6372,294.65,97,89,0.85,overcast clouds
84,Norman Wells,CA,65.282,-126.8329,286.17,58,75,4.12,broken clouds
85,Aquiraz,BR,-3.9014,-38.3911,301.03,80,8,2.65,clear sky
86,Tabou,CI,4.423,-7.3528,297.71,88,100,3.76,moderate rain
