City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,New Norfolk,AU,278.1,few clouds,-42.7826,147.0587,
1,Igarka,RU,275.54,overcast clouds,67.4667,86.5833,
2,Kaeo,NZ,289.19,overcast clouds,-35.1,173.7833,
3,Lebu,CL,284.63,overcast clouds,-37.6167,-73.65,
4,Macau,MO,299.74,light intensity shower rain,22.2006,113.5461,
6,Airai,TL,287.35,broken clouds,-8.9266,125.4092,
7,Mar Del Plata,AR,289.79,clear sky,-38.0023,-57.5575,
8,Busselton,AU,283.56,clear sky,-33.65,115.3333,
9,Ushuaia,AR,275.96,scattered clouds,-54.8,-68.3,
10,Nchelenge,ZM,293.96,overcast clouds,-9.3451,28.734,
12,Coquimbo,CL,289.0,clear sky,-29.9533,-71.3436,
13,Port Alfred,ZA,291.46,clear sky,-33.5906,26.891,
14,Mataura,NZ,281.19,overcast clouds,-46.1927,168.8643,
15,Pavlodar,KZ,285.04,clear sky,52.3,76.95,
17,Castro,BR,289.14,overcast clouds,-24.7911,-50.0119,
18,Rikitea,PF,295.44,broken clouds,-23.1203,-134.9692,
19,Sinnamary,GF,298.38,overcast clouds,5.3833,-52.95,
20,Tiksi,RU,277.35,overcast clouds,71.6872,128.8694,
21,Ambon,ID,297.23,scattered clouds,-3.6954,128.1814,
22,Bengkulu,ID,296.77,overcast clouds,-3.8004,102.2655,
24,Vaini,TO,297.24,few clouds,-21.2,-175.2,
25,Grindavik,IS,285.12,light rain,63.8424,-22.4338,
27,Hermanus,ZA,288.04,broken clouds,-34.4187,19.2345,
28,Mayor Pablo Lagerenza,PY,291.89,scattered clouds,-19.9309,-60.7718,
29,Saskylakh,RU,276.32,few clouds,71.9167,114.0833,
30,Kruisfontein,ZA,287.4,clear sky,-34.0033,24.7314,
31,Jamestown,US,297.88,overcast clouds,42.097,-79.2353,
34,Bukachacha,RU,285.88,overcast clouds,52.9833,116.9167,
35,Hobart,AU,278.29,light rain,-42.8794,147.3294,
36,Cidreira,BR,290.9,moderate rain,-30.1811,-50.2056,
37,Peniche,PT,292.75,scattered clouds,39.3558,-9.3811,
40,Kapaa,US,299.33,broken clouds,22.0752,-159.319,
41,Barrow,US,273.03,few clouds,71.2906,-156.7887,
42,Kuching,MY,296.27,few clouds,1.55,110.3333,
44,Inhambane,MZ,293.86,light rain,-23.865,35.3833,
45,Tezu,IN,297.65,light rain,27.9167,96.1667,
46,Vardo,NO,279.14,clear sky,70.3705,31.1107,
47,Casino,AU,279.26,scattered clouds,-28.8667,153.05,
48,Cambridge,CA,292.81,mist,43.3601,-80.3127,
49,Bredasdorp,ZA,288.54,few clouds,-34.5322,20.0403,
50,East London,ZA,292.01,clear sky,-33.0153,27.9116,
51,Nyurba,RU,285.63,clear sky,63.2842,118.3319,
52,Thompson,CA,291.24,few clouds,55.7435,-97.8558,
53,Intipuca,SV,298.0,overcast clouds,13.1969,-88.0544,
54,San Carlos De Bariloche,AR,277.01,heavy intensity rain,-41.1456,-71.3082,
55,Aasiaat,GL,274.71,few clouds,68.7098,-52.8699,
56,Bireun,ID,297.33,overcast clouds,5.203,96.7009,
57,Yellowknife,CA,295.44,broken clouds,62.456,-114.3525,
